run_name,opt,proj,rank,size,attention,seed,step,tokens_seen,train_loss,train_ppl_capped,val_loss,val_perplexity,test_loss,test_perplexity,vram_total_peak_gb,vram_model_gb,vram_optimizer_gb,vram_gradients_gb,vram_activations_gb,iter_time,tokens_per_sec,grad_norm,lr,batch_size,sequence_length,max_projected_params,wall_time_sec
adammini-fisher_projector-r8,adammini,fisher_projector,8,1.1B,sdpa,666,0,2048,1.9975624084472656,7.371066532716149,2.3571549570289947,10.560862562835332,nan,nan,6.078336715698242,2.048999786376953,0.009350571781396866,2.048999786376953,1.970986571162939,156.3938217163086,13.094895142484223,5.8125,2e-06,1,2048,,157.80123472213745
adammini-fisher_projector-r8,adammini,fisher_projector,8,1.1B,sdpa,666,1,4096,2.4645888805389404,11.758646949528877,nan,nan,nan,nan,6.09505033493042,2.048999786376953,0.009350571781396866,2.048999786376953,1.9877001903951168,0.9879026412963867,25.79472808678222,6.65625,4e-06,1,2048,,158.79313731193542
adammini-fisher_projector-r8,adammini,fisher_projector,8,1.1B,sdpa,666,2,6144,2.5501186847686768,12.808623881017374,nan,nan,nan,nan,6.09505033493042,2.048999786376953,0.009350571781396866,2.048999786376953,1.9877001903951168,0.9875540733337402,38.451984284248475,6.40625,6e-06,1,2048,,159.7846896648407
adammini-fisher_projector-r8,adammini,fisher_projector,8,1.1B,sdpa,666,3,8192,2.3227813243865967,10.204015552000003,nan,nan,nan,nan,6.09505033493042,2.048999786376953,0.009350571781396866,2.048999786376953,1.9877001903951168,0.9899954795837402,50.95234372912111,6.28125,8e-06,1,2048,,160.77768754959106
adammini-fisher_projector-r8,adammini,fisher_projector,8,1.1B,sdpa,666,4,10240,2.4508864879608154,11.598624203835868,nan,nan,nan,nan,6.09505033493042,2.048999786376953,0.009350571781396866,2.048999786376953,1.9877001903951168,0.9872934818267822,63.297797566206945,6.5,1e-05,1,2048,,161.77598404884338
adammini-fisher_projector-r8,adammini,fisher_projector,8,1.1B,sdpa,666,5,12288,1.2804871797561646,3.5983923625237533,nan,nan,nan,nan,6.09602689743042,2.048999786376953,0.009350571781396866,2.048999786376953,1.9886767528951168,0.9882519245147705,75.49523663322782,5.21875,1.2e-05,1,2048,,162.76623725891113
adammini-fisher_projector-r8,adammini,fisher_projector,8,1.1B,sdpa,666,6,14336,0.6174934506416321,1.8542743817067155,nan,nan,nan,nan,6.09602689743042,2.048999786376953,0.009350571781396866,2.048999786376953,1.9886767528951168,0.9867391586303711,87.5459654674035,4.0625,1.4e-05,1,2048,,163.75497579574585
adammini-fisher_projector-r8,adammini,fisher_projector,8,1.1B,sdpa,666,7,16384,2.598814010620117,13.447779649786897,nan,nan,nan,nan,6.09602689743042,2.048999786376953,0.009350571781396866,2.048999786376953,1.9886767528951168,0.989814281463623,99.45018827828116,6.0625,1.6e-05,1,2048,,164.7468295097351
adammini-fisher_projector-r8,adammini,fisher_projector,8,1.1B,sdpa,666,8,18432,2.018026828765869,7.52346519297697,nan,nan,nan,nan,6.09602689743042,2.048999786376953,0.009350571781396866,2.048999786376953,1.9886767528951168,0.9897501468658447,111.2112299437701,6.03125,1.8e-05,1,2048,,165.73917818069458
adammini-fisher_projector-r8,adammini,fisher_projector,8,1.1B,sdpa,666,9,20480,2.3887369632720947,10.899718500638276,nan,nan,nan,nan,6.09602689743042,2.048999786376953,0.009350571781396866,2.048999786376953,1.9886767528951168,0.9877357482910156,122.8330621354575,5.84375,2e-05,1,2048,,166.73138403892517
adammini-fisher_projector-r8,adammini,fisher_projector,8,1.1B,sdpa,666,10,22528,2.4091813564300537,11.12485012921197,nan,nan,nan,nan,6.09602689743042,2.048999786376953,0.009350571781396866,2.048999786376953,1.9886767528951168,0.9882209300994873,134.31735179035633,6.53125,2.2e-05,1,2048,,167.72318601608276
adammini-fisher_projector-r8,adammini,fisher_projector,8,1.1B,sdpa,666,11,24576,2.1253349781036377,8.375702695265042,nan,nan,nan,nan,6.09602689743042,2.048999786376953,0.009350571781396866,2.048999786376953,1.9886767528951168,0.9886445999145508,145.66591414603835,5.5625,2.4e-05,1,2048,,168.71583080291748
